City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mahebourg,MU,80.6,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
1,Port Hardy,CA,46.4,overcast clouds,50.6996,-127.4199,Providence Place
2,Cidreira,BR,78.84,few clouds,-30.1811,-50.2056,Casa 2 dormitórios Oasis Sul
3,Albany,US,36.0,clear sky,42.6001,-73.9662,CrestHill Suites SUNY University Albany
4,Asau,RO,45.0,light rain,46.4333,26.4,Casa Mika Ciobanus
5,Lae,PG,77.41,very heavy rain,-6.7221,146.9847,Phils Hotel
6,Daru,PG,79.61,overcast clouds,-9.0763,143.2092,Daru Lodge
7,Pevek,RU,10.69,light snow,69.7008,170.3133,Severnoye Zoloto
8,Pyapon,MM,79.07,clear sky,16.2833,95.6833,Aung Naing Thu Motel
9,Hithadhoo,MV,84.45,scattered clouds,-0.6,73.0833,"Shangri-La's Villingili Resort & Spa, Maldives"
10,Asosa,ET,80.17,scattered clouds,10.0667,34.5333,Blendana Hotel Assosa
11,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"""Plantation Bed and Breakfast"
12,Zhigansk,RU,5.72,light snow,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
14,Cape Town,ZA,75.2,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
15,San Patricio,US,77.0,broken clouds,28.017,-97.5169,La Quinta Inn & Suites by Wyndham Corpus Christi Northwest
16,Kapaa,US,70.0,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
17,Silver City,US,37.4,light snow,32.7701,-108.2803,Copper Manor Motel
18,Atuona,PF,78.73,broken clouds,-9.8,-139.0333,Villa Enata
19,Padang,ID,78.66,moderate rain,-0.9492,100.3543,Mercure Padang
20,Ilulissat,GL,10.4,broken clouds,69.2167,-51.1,Hotel Arctic
21,Punta Arenas,CL,51.8,few clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
22,Rikitea,PF,79.21,light rain,-23.1203,-134.9692,Pension Maro'i
23,Butaritari,KI,80.58,light rain,3.0707,172.7902,Isles Sunset Lodge
24,Kavaratti,IN,83.93,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
25,Davila,PH,77.0,few clouds,18.4726,120.5763,Orchard Resort Hotel And Restaurant
26,Cherskiy,RU,-7.55,light snow,68.75,161.3,Gostinitsa
27,Clyde River,CA,-4.0,mist,70.4692,-68.5914,Qamaq Hotel
28,Mandalgovi,MN,42.66,overcast clouds,45.7625,106.2708,В.Ганбат
29,Ushuaia,AR,46.4,scattered clouds,-54.8,-68.3,Albatros Hotel
30,Kabare,CD,67.12,light rain,-2.4683,28.8242,Heirdorm Hotel
31,Maniitsoq,GL,14.23,scattered clouds,65.4167,-52.9,Hotel Heilmann Lyberth
32,Hobart,AU,48.2,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
33,Ahipara,NZ,59.41,few clouds,-35.1667,173.1667,Ahipara Holiday Park
34,Mecca,SA,84.27,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
35,Coquimbo,CL,66.2,scattered clouds,-29.9533,-71.3436,Punto de encuentro
36,Guerrero Negro,MX,58.1,clear sky,27.9769,-114.0611,The Halfway Inn
37,Hasaki,JP,48.2,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
