City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Dikson,73.5069,80.5464,-17.45,91,100,24.99,RU,2021-03-13 10:02:39
1,Ushuaia,-54.8,-68.3,37.4,93,75,42.57,AR,2021-03-13 09:58:09
2,Barrow,71.2906,-156.7887,-18.4,63,1,16.11,US,2021-03-13 10:02:39
3,Jamestown,42.097,-79.2353,21.99,79,1,7.65,US,2021-03-13 10:02:39
4,Vaini,-21.2,-175.2,75.2,94,75,2.3,TO,2021-03-13 10:02:39
5,Iqaluit,63.7506,-68.5145,-14.01,64,20,12.66,CA,2021-03-13 10:00:02
6,Souillac,-20.5167,57.5167,87.8,66,40,11.5,MU,2021-03-13 10:02:40
7,Mataura,-46.1927,168.8643,55.0,80,0,1.01,NZ,2021-03-13 10:02:40
8,Clyde River,70.4692,-68.5914,-4.0,84,90,13.8,CA,2021-03-13 10:02:40
9,Deniliquin,-35.5333,144.9667,59.0,89,100,1.01,AU,2021-03-13 10:02:40
10,Kota Belud,6.351,116.4305,82.4,83,20,5.75,MY,2021-03-13 10:02:40
11,Hobart,-42.8794,147.3294,57.2,51,75,12.66,AU,2021-03-13 09:59:27
12,Port Lincoln,-34.7333,135.8667,58.24,60,38,16.37,AU,2021-03-13 10:02:41
13,Castro,-24.7911,-50.0119,61.45,98,47,2.82,BR,2021-03-13 10:02:41
14,Acapulco,16.8634,-99.8901,73.56,71,0,4.05,MX,2021-03-13 10:02:41
15,Pimentel,-6.8367,-79.9342,71.01,85,52,5.99,PE,2021-03-13 10:02:41
16,Hilo,19.7297,-155.09,71.6,78,1,3.44,US,2021-03-13 10:02:41
17,Cape Town,-33.9258,18.4232,75.99,64,40,18.41,ZA,2021-03-13 09:58:15
18,Callaway,30.153,-85.5699,60.01,100,90,3.44,US,2021-03-13 10:02:41
19,Emerald,-23.5333,148.1667,89.6,37,78,3.44,AU,2021-03-13 10:00:00
20,Palana,59.1167,159.9667,1.33,95,100,15.39,RU,2021-03-13 10:02:41
21,Bluff,-46.6,168.3333,55.0,80,0,1.01,NZ,2021-03-13 10:02:41
22,Port Hedland,-20.3167,118.5667,86.0,74,72,10.36,AU,2021-03-13 10:00:19
23,Talnakh,69.4865,88.3972,-14.57,97,100,13.18,RU,2021-03-13 10:02:42
24,Alofi,-19.0595,-169.9187,71.6,100,5,7.18,NU,2021-03-13 10:00:04
25,Inyonga,-6.7167,32.0667,81.27,55,16,5.91,TZ,2021-03-13 10:02:42
26,Winslow,35.0242,-110.6974,32.0,93,90,4.61,US,2021-03-13 10:02:42
27,Punta Arenas,-53.15,-70.9167,46.4,46,20,14.97,CL,2021-03-13 10:02:42
28,Cabo San Lucas,22.8909,-109.9124,60.01,81,52,1.01,MX,2021-03-13 10:02:42
29,Mahibadhoo,3.7833,72.9667,83.12,73,74,11.21,MV,2021-03-13 10:02:42
30,Itaqui,-29.1253,-56.5531,64.87,52,52,3.8,BR,2021-03-13 10:02:42
31,Butaritari,3.0707,172.7902,81.32,79,55,11.56,KI,2021-03-13 10:02:42
32,Yining,29.0361,114.5636,58.24,86,84,1.81,CN,2021-03-13 10:02:43
33,Saint-Philippe,-21.3585,55.7679,84.2,65,75,25.32,RE,2021-03-13 10:02:43
34,Pevek,69.7008,170.3133,6.24,95,100,14.9,RU,2021-03-13 10:02:43
35,Paamiut,61.994,-49.6678,11.07,49,97,8.43,GL,2021-03-13 10:02:43
36,Labuan,5.2767,115.2417,80.6,83,20,3.44,MY,2021-03-13 10:00:45
37,Kargasok,59.0556,80.8572,12.87,86,70,14.5,RU,2021-03-13 10:02:43
38,Khatanga,71.9667,102.5,-7.04,96,100,11.92,RU,2021-03-13 10:02:43
39,Georgetown,5.4112,100.3354,87.8,66,20,11.5,MY,2021-03-13 09:59:49
40,Avarua,-21.2078,-159.775,77.0,94,20,3.44,CK,2021-03-13 10:00:11
41,Waingapu,-9.6567,120.2641,81.73,81,82,2.82,ID,2021-03-13 10:02:43
42,Ostrovnoy,68.0531,39.5131,18.16,87,80,13.69,RU,2021-03-13 10:02:44
43,Kieta,-6.2167,155.6333,79.47,76,100,3.89,PG,2021-03-13 10:02:44
44,Santiago,-33.4569,-70.6483,64.99,67,0,1.61,CL,2021-03-13 10:00:02
45,Floresta,-8.6011,-38.5686,75.7,73,65,6.85,BR,2021-03-13 10:02:44
46,Saldanha,-33.0117,17.9442,73.4,60,31,9.22,ZA,2021-03-13 10:02:44
47,Puerto Leguizamo,-0.1934,-74.7819,68.43,94,46,1.19,CO,2021-03-13 10:02:44
48,Kalmunai,7.4167,81.8167,84.33,72,30,11.97,LK,2021-03-13 10:02:44
49,Hermanus,-34.4187,19.2345,80.01,50,20,5.01,ZA,2021-03-13 10:02:44
50,Rikitea,-23.1203,-134.9692,78.96,79,54,6.69,PF,2021-03-13 10:02:44
51,Necochea,-38.5473,-58.7368,55.0,85,0,3.0,AR,2021-03-13 10:02:45
52,Saskylakh,71.9167,114.0833,-4.79,88,0,16.02,RU,2021-03-13 10:02:45
53,Riohacha,11.5444,-72.9072,71.62,87,61,5.86,CO,2021-03-13 10:02:45
54,Singaraja,-8.112,115.0882,82.13,81,92,4.85,ID,2021-03-13 10:02:45
55,Nidzica,53.3605,20.4275,39.2,93,75,12.66,PL,2021-03-13 10:02:45
56,Narrabri,-30.3167,149.7833,80.01,61,40,8.05,AU,2021-03-13 10:02:45
57,Vardo,70.3705,31.1107,24.37,82,100,12.59,NO,2021-03-13 10:02:45
58,Ketchikan,55.3422,-131.6461,32.0,100,90,9.22,US,2021-03-13 10:02:45
59,Carnarvon,-24.8667,113.6333,89.6,58,0,17.27,AU,2021-03-13 10:00:04
60,Westport,41.1415,-73.3579,34.0,34,1,16.11,US,2021-03-13 10:02:47
61,Cidreira,-30.1811,-50.2056,69.42,84,45,6.33,BR,2021-03-13 10:02:47
62,Lata,40.1629,-8.3327,57.0,76,21,1.99,PT,2021-03-13 10:02:47
63,Bredasdorp,-34.5322,20.0403,80.6,54,0,5.75,ZA,2021-03-13 10:02:47
64,Champerico,14.3,-91.9167,59.0,93,7,3.0,GT,2021-03-13 10:02:48
65,Albany,42.6001,-73.9662,28.0,38,17,4.0,US,2021-03-13 10:02:48
66,Daru,-9.0763,143.2092,80.65,80,99,6.85,PG,2021-03-13 10:02:48
67,Kaseda,31.4167,130.3167,55.4,62,75,13.8,JP,2021-03-13 10:02:48
68,Saint George,37.1041,-113.5841,37.0,80,90,4.61,US,2021-03-13 09:59:58
69,Atuona,-9.8,-139.0333,79.3,62,100,3.38,PF,2021-03-13 10:02:48
70,Bodo,67.28,14.405,36.0,69,75,18.41,NO,2021-03-13 10:02:48
71,Kapaa,22.0752,-159.319,73.0,88,75,14.97,US,2021-03-13 10:02:48
72,Yellowknife,62.456,-114.3525,-7.01,84,1,11.5,CA,2021-03-13 10:02:48
73,Busselton,-33.65,115.3333,68.0,61,0,3.0,AU,2021-03-13 10:00:19
74,Buala,-8.145,159.5921,79.72,81,100,6.49,SB,2021-03-13 10:02:49
