City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mahebourg,MU,-20.4081,57.7,80.6,78,75,9.22,broken clouds
1,Port Hardy,CA,50.6996,-127.4199,46.4,81,90,12.66,overcast clouds
2,Cidreira,BR,-30.1811,-50.2056,78.84,63,19,8.59,few clouds
3,Albany,US,42.6001,-73.9662,36.0,30,0,3.0,clear sky
4,Asau,RO,46.4333,26.4,45.0,45,54,3.76,light rain
5,Lae,PG,-6.7221,146.9847,77.41,82,100,6.04,very heavy rain
6,Daru,PG,-9.0763,143.2092,79.61,85,100,5.5,overcast clouds
7,Pevek,RU,69.7008,170.3133,10.69,95,100,3.6,light snow
8,Pyapon,MM,16.2833,95.6833,79.07,55,1,11.12,clear sky
9,Hithadhoo,MV,-0.6,73.0833,84.45,65,46,7.58,scattered clouds
10,Asosa,ET,10.0667,34.5333,80.17,21,48,3.15,scattered clouds
11,Saint-Philippe,RE,-21.3585,55.7679,78.8,73,0,16.11,clear sky
12,Zhigansk,RU,66.7697,123.3711,5.72,96,100,8.77,light snow
13,Teya,RU,60.3778,92.6267,6.51,86,99,12.88,overcast clouds
14,Cape Town,ZA,-33.9258,18.4232,75.2,57,20,20.71,few clouds
15,San Patricio,US,28.017,-97.5169,77.0,73,75,20.71,broken clouds
16,Kapaa,US,22.0752,-159.319,70.0,83,75,29.93,light rain
17,Silver City,US,32.7701,-108.2803,37.4,52,75,18.41,light snow
18,Atuona,PF,-9.8,-139.0333,78.73,62,62,3.29,broken clouds
19,Padang,ID,-0.9492,100.3543,78.66,85,99,3.31,moderate rain
20,Ilulissat,GL,69.2167,-51.1,10.4,44,75,3.44,broken clouds
21,Punta Arenas,CL,-53.15,-70.9167,51.8,40,20,28.77,few clouds
22,Rikitea,PF,-23.1203,-134.9692,79.21,78,65,6.8,light rain
23,Butaritari,KI,3.0707,172.7902,80.58,81,58,11.45,light rain
24,Kavaratti,IN,10.5669,72.642,83.93,66,0,6.44,clear sky
25,Davila,PH,18.4726,120.5763,77.0,69,20,3.44,few clouds
26,Cherskiy,RU,68.75,161.3,-7.55,97,100,18.3,light snow
27,Clyde River,CA,70.4692,-68.5914,-4.0,77,75,23.02,mist
28,Mandalgovi,MN,45.7625,106.2708,42.66,28,100,10.45,overcast clouds
29,Ushuaia,AR,-54.8,-68.3,46.4,53,40,35.68,scattered clouds
30,Kabare,CD,-2.4683,28.8242,67.12,86,99,2.44,light rain
31,Maniitsoq,GL,65.4167,-52.9,14.23,72,25,2.44,scattered clouds
32,Hobart,AU,-42.8794,147.3294,48.2,57,40,6.91,scattered clouds
33,Ahipara,NZ,-35.1667,173.1667,59.41,93,18,4.83,few clouds
34,Mecca,SA,21.4267,39.8261,84.27,34,0,8.39,clear sky
35,Coquimbo,CL,-29.9533,-71.3436,66.2,68,40,11.5,scattered clouds
